Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location
Suzuki,Bolan,2015,46500,850000,Petrol,Lahore,Original,Local,Manual,Used,"Bhagatpura, Lahore"
Daihatsu,Cuore,2008,84512,745000,Petrol,Karachi,Original,Local,Manual,Used,"Gulzar-E-Hijri, Karachi"
Toyota,Corolla XLI,2007,150000,1650000,Petrol,Multan,Original,Local,Manual,Used,"Block 10, Dera Ghazi Khan"
Honda,City IDSI,2005,95000,1625000,Petrol,Islamabad,Original,Imported,Manual,Used,"Westridge, Rawalpindi"
Chevrolet,Joy,2009,107000,900000,Petrol,Lahore,Original,Imported,Manual,Used,"Township - Sector C1, Lahore"
Honda,Civic Oriel,2017,90000,4850000,Petrol,Lahore,Original,Local,Automatic,Used,"Ajwa Residencia, Renala Khurd"
Toyota,Yaris,2021,20000,4380000,Petrol,Karachi,Original,Local,Automatic,Used,"DHA Phase 1, Karachi"
Suzuki,Every,2021,15654,3270000,Petrol,Unregistered,Original,Imported,Automatic,Used,"DHA Defence, Gujranwala"
Hyundai,Santro,2003,123456,825000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt, Lahore"
Suzuki,Alto,2004,100000,480000,CNG,Karachi,Original,Local,Manual,Used,"I.I. Chundrigar Road, Karachi"
KIA,Classic,2000,12345,450000,Petrol,Karachi,Original,Local,Manual,Used,"Korangi Industrial Area, Karachi"
KIA,Spectra,2002,120000,550000,CNG,Karachi,Original,Imported,Manual,Used,"Kamran Chowrangi, Karachi"
Suzuki,Mehran VXR,2012,70000,820000,Petrol,Lahore,Original,Imported,Manual,Used,"Others, Faisalabad"
Daihatsu,Move,2012,77000,2275000,Petrol,Lahore,Original,Imported,Automatic,Used,"Gulberg 3, Lahore"
Suzuki,Alto,2021,70000,2350000,Petrol,Islamabad,Original,Local,Manual,Used,"Defence Road, Sialkot"
Suzuki,Mehran VXR,2006,1234,545000,Petrol,Karachi,Original,Local,Manual,Used,"Gulistan-e-Jauhar, Karachi"
Suzuki,Wagon R,2018,122000,2100000,Petrol,Lahore,Original,Local,Manual,Used,"Military Accounts Housing Society, Lahore"
Daihatsu,Hijet,2018,130000,1395000,Petrol,Karachi,Original,Imported,Automatic,Used,"Light House, Karachi"
Honda,City IVTEC,2019,43000,4200000,Petrol,Islamabad,Original,Local,Automatic,Used,"Chowk Kumharanwala, Multan"
Hyundai,Santro,2007,90000,1055000,Petrol,Lahore,Original,Local,Manual,Used,"Faisalabad, Punjab"
Daihatsu,Cuore,2001,12378,580000,Petrol,Faisalabad,Original,Imported,Manual,Used,"Khurianwala, Faisalabad"
Honda,Civic Prosmetic,2010,92000,2600000,Petrol,Bahawalpur,Original,Local,Automatic,Used,"Model Town C, Bahawalpur"
Suzuki,Cultus VXR,2008,85421,836999,Petrol,Lahore,Original,Imported,Manual,Used,"Sialkot Road, Gujranwala"
Suzuki,Bolan,2014,95500,840000,Petrol,Karachi,Original,Local,Manual,Used,"Malir Cantonment, Karachi"
FAW,V2,2018,75000,1550000,Petrol,Islamabad,Original,Imported,Manual,Used,"Sheikh Basti, Okara"
Toyota,Corolla GLI,2009,250000,2225000,Petrol,Multan,Original,Local,Manual,Used,"Airport Road, Sialkot"
Hyundai,Santro,2006,80000,970000,Petrol,Lahore,Original,Local,Manual,Used,"Harbanspura, Lahore"
Toyota,Corolla GLI,2016,94000,3000000,Petrol,Lahore,Original,Local,Manual,Used,"Chenab Rangers Road, Sialkot"
Toyota,Corolla XLI,2008,150000,2100000,Petrol,Islamabad,Original,Local,Manual,Used,"Jada, Jhelum"
Toyota,Corolla GLI,2012,230000,2400000,Petrol,Sindh,Original,Local,Manual,Used,"New Samanabad, Lahore"
Suzuki,Wagon R,2015,83000,1680000,Petrol,Lahore,Original,Imported,Manual,Used,"Urdu Bazar, Lahore"
Suzuki,Cultus VXR,2015,115000,1625000,Petrol,Lahore,Original,Local,Manual,Used,"Nishatabad, Faisalabad"
Hyundai,Santro,2004,177100,750000,Petrol,Sindh,Original,Imported,Manual,Used,"I-9, Islamabad"
Hyundai,Santro,2005,95000,910000,Petrol,Lahore,Original,Local,Manual,Used,"Harbanspura, Lahore"
Hyundai,Santro,2005,1234,800000,Petrol,Faisalabad,Original,Imported,Manual,Used,"Ghulam Mohammad Abad, Faisalabad"
KIA,Picanto,2021,18000,3100000,Petrol,Lahore,Original,Imported,Automatic,Used,"Rangpura Road, Sialkot"
Toyota,Corolla GLI,2014,180000,2900000,Petrol,Punjab,Original,Imported,Automatic,Used,"Gul Abad, Lower Dir"
Toyota,Corolla GLI,2011,82000,2550000,Petrol,Sindh,Original,Local,Manual,Used,"Hyderabad, Sindh"
Mitsubishi,Ek Wagon,2015,50000,2080000,Petrol,Sindh,Original,Imported,Automatic,Used,"Saddar, Karachi"
Honda,City Vario,2006,160000,1580000,Petrol,Sindh,Original,Local,Automatic,Used,"Rahatabad, Peshawar"
Suzuki,Every,2010,200000,1450000,Petrol,Lahore,Original,Imported,Automatic,Used,"Fateh Garh Town, Sialkot"
KIA,Picanto,2021,65000,2700000,Petrol,Punjab,Original,Local,Automatic,Used,"Victoria Park, Lahore"
Changan,Karvaan,2022,12700,2600000,Petrol,Hyderabad,Original,Local,Manual,Used,"Abdullah Heaven, Hyderabad"
Suzuki,Bolan,2019,60700,1375000,Petrol,Lahore,Original,Local,Manual,Used,"Kot Abdul Malik, Sheikhüpura"
Honda,City IVTEC,2021,29400,4050000,Petrol,Islamabad,Original,Local,Manual,Used,"University Chowk, Bahawalpur"
Daihatsu,Cuore,2007,245128,780000,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-E-Hadeed, Karachi"
Honda,City Vario,2005,223000,1725000,Petrol,Lahore,Original,Local,Automatic,Used,"Wapda Town, Lahore"
Suzuki,Ravi,2005,100000,290000,Petrol,Karachi,Original,Imported,Manual,Used,"Gulistan-e-Jauhar - Block 16-A, Karachi"
Suzuki,Bolan,2008,55000,720000,CNG,Islamabad,Original,Imported,Manual,Used,"GT Road, Wah"
Suzuki,Bolan,2009,91000,950000,Petrol,Islamabad,Original,Local,Manual,Used,"PIA Cooperative Officers Housing Society, Rawalpindi"
Daihatsu,Mira,2015,70000,1920000,Petrol,Karachi,Original,Imported,Automatic,Used,"Malir, Karachi"
Hyundai,Santro,2006,153000,950000,Petrol,Lahore,Original,Imported,Manual,Used,"Rafi Gardens, Sahiwal"
Suzuki,Mehran VXR,2006,123456,499999,Petrol,Karachi,Original,Local,Manual,Used,"Gulshan-e-Kaneez Fatima, Karachi"
Hyundai,Santro,2003,194857,720000,Petrol,Karachi,Original,Local,Manual,Used,"Mohlanwal, Lahore"
Suzuki,Swift,2021,41000,3350000,Petrol,Islamabad,Original,Local,Automatic,Used,"F-11 Markaz, Islamabad"
Suzuki,Mehran VXR,2006,100000,500000,Petrol,Rahimyar Khan,Original,Local,Manual,Used,"KLP Road, Sadiqabad"
Honda,City IVTEC,2017,160000,3300000,Petrol,Islamabad,Original,Local,Manual,Used,"G-9, Islamabad"
Honda,Civic Oriel,2005,130000,1575000,Petrol,Lahore,Original,Imported,Manual,Used,"I-14, Islamabad"
Hyundai,Santro,2005,120000,985000,Petrol,Lahore,Original,Local,Manual,Used,"Habib Colony, Sheikhüpura"
Toyota,Corolla GLI,2018,66000,4250000,Petrol,Lahore,Original,Local,Manual,Used,"Gujrat Bypass, Gujrat"
Suzuki,Swift,2013,110000,1590000,Petrol,Karachi,Original,Local,Manual,Used,"Shadman 2, Karachi"
Suzuki,Bolan,2017,58000,1099000,Petrol,Lahore,Original,Local,Manual,Used,"Sambrial, Sialkot"
Suzuki,Alto,2021,22000,2370000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Defence, Lahore"
Mitsubishi,Lancer,2005,139000,1350000,Petrol,Faisalabad,Original,Imported,Automatic,Used,"Citi Housing Society - Block B, Sialkot"
Suzuki,Mehran VXR,2017,78000,1115000,Petrol,Lahore,Original,Local,Manual,Used,"Garden Town, Multan"
Toyota,Altis Grande,2018,71500,4900000,Petrol,Karachi,Original,Local,Automatic,Used,"Ancholi, Karachi"
Toyota,Passo,2006,90000,1590000,Petrol,Karachi,Original,Imported,Automatic,Used,"North Nazimabad, Karachi"
Toyota,Yaris,2021,36000,3800000,Petrol,Punjab,Original,Local,Manual,Used,"Circular Road, Daska"
Mitsubishi,Minicab Bravo,2013,90000,1050000,Petrol,Islamabad,Original,Imported,Manual,Used,"Rawat, Islamabad"
Suzuki,Alto,2017,48000,2800000,Petrol,Karachi,Original,Imported,Automatic,Used,"B-17, Islamabad"
Suzuki,Bolan,2001,76240,550000,Petrol,Hyderabad,Original,Imported,Manual,Used,"Qasimabad Phase 2, Hyderabad"
Honda,City IVTEC,2022,3700,4600000,Petrol,Karachi,Original,Local,Automatic,Used,"Allama Iqbal Town, Karachi"
Suzuki,Mehran VXR,2008,40000,530000,Petrol,Punjab,Original,Local,Manual,Used,"Awan Town, Lahore"
Toyota,Corolla Assista,2004,166000,2600000,Petrol,Karachi,Original,Local,Manual,Used,"Shahra-e-Qaideen, Karachi"
Daihatsu,Cuore,2007,100000,735000,Petrol,Karachi,Original,Local,Manual,Used,"Scheme 33, Karachi"
Honda,City Vario,2004,108000,1400000,Petrol,Karachi,Original,Local,Automatic,Used,"Gulistan-e-Jauhar Block 19, Karachi"
Hyundai,Santro,2008,111000,965000,Petrol,Lahore,Original,Local,Manual,Used,"Wapda Town Phase 1, Lahore"
Suzuki,Alto,2010,178526,1000000,CNG,Lahore,Original,Local,Manual,Used,"Cantt, Peshawar"
Daihatsu,Cuore,2005,300000,580000,Petrol,Karachi,Original,Imported,Manual,Used,"Rifah Aam, Karachi"
Suzuki,Alto,2020,40500,2525000,Petrol,Lahore,Original,Local,Automatic,Used,"Muslim Town, Faisalabad"
Toyota,Yaris,2020,48000,4175000,Petrol,Karachi,Original,Local,Automatic,Used,"Saima Arabian Villas, Karachi"
Daihatsu,Mira,2010,109621,1660000,Petrol,Lahore,Original,Imported,Automatic,Used,"F-6 Markaz, Islamabad"
Hyundai,Santro,2004,186000,1275000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Phase 3, Lahore"
Toyota,Yaris,2020,36000,4500000,Petrol,Karachi,Original,Local,Automatic,Used,"G-11, Islamabad"
Honda,City IVTEC,2010,165000,2325000,Petrol,Lahore,Original,Local,Manual,Used,"Green Town, Lahore"
Honda,Civic Prosmetic,2007,142000,1790000,Petrol,Lahore,Original,Local,Automatic,Used,"Police Foundation Housing Scheme, Rawalpindi"
Honda,Civic Prosmetic,2008,130741,1740000,Petrol,Karachi,Original,Local,Automatic,Used,"Sharaqpur Sharif, Sheikhüpura"
Honda,City IVTEC,2017,58000,3480000,Petrol,Islamabad,Original,Local,Manual,Used,"Chaklala Scheme, Rawalpindi"
Honda,City IVTEC,2016,53600,3800000,Petrol,Lahore,Original,Local,Automatic,Used,"Dharampura, Lahore"
Honda,City IDSI,2008,200000,1620000,Petrol,Karachi,Original,Local,Manual,Used,"Multan Road, Pattoki"
Honda,City IDSI,2003,12345,1315000,Petrol,Lahore,Original,Local,Automatic,Used,"Izmir Town Extension, Lahore"
Chevrolet,Joy,2006,1234,625000,Petrol,Lahore,Original,Imported,Manual,Used,"Civil Lines, Gujranwala"
Suzuki,Wagon R,2019,110000,2450000,Petrol,Lahore,Original,Local,Manual,Used,"Gulshan Ali Housing Scheme, Sahiwal"
Suzuki,Bolan,2017,65000,1350000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Phase 5, Lahore"
Toyota,Corolla GLI,2011,120000,2860000,Petrol,Islamabad,Original,Local,Manual,Used,"G-13, Islamabad"
Suzuki,Wagon R,2021,47000,2600000,Petrol,Lahore,Original,Local,Manual,Used,"PGECHS Phase 1, Lahore"
Hyundai,Santro,2001,10000,745000,Petrol,Lahore,Original,Imported,Manual,Used,"Rahwali Cantt, Gujranwala"
Suzuki,Wagon R,2018,119000,1900000,Petrol,Multan,Original,Local,Manual,Used,"Shamasabad Colony, Multan"
Daihatsu,Cuore,2008,1234,695000,Petrol,Karachi,Original,Local,Manual,Used,"Memon Colony, Tando Muhammad Khan"
Suzuki,Wagon R,2016,50000,1800000,Petrol,Karachi,Original,Local,Manual,Used,"Others, Tando Adam"
Hyundai,Santro,2006,75000,847000,Petrol,Faisalabad,Original,Local,Manual,Used,"Others, Renala Khurd"
